siteid size segmentid n k a cost maxdate mindate days
785923 160x600 83 2655757 930 3 256.82 2011-08-31 2011-03-01 183
809977 300x250 69 2649576 25 0 23.99 2011-11-21 2011-10-14 38
793540 300x250 1183 2644572 87 1 239.91 2011-09-27 2011-03-01 210
806600 300x250 1183 2643640 1025 35 1527.08 2011-11-14 2011-07-13 124
754289 728x90 69 2631441 383 0 136.37 2011-09-23 2011-03-01 206
770181 160x600 1183 2601145 218 8 485.23 2011-11-28 2011-03-01 272
800540 728x90 1183 2594183 16 4 239.17 2011-11-28 2011-03-29 244
764271 728x90 83 2592921 785 8 1226.99 2011-09-23 2011-03-05 202
754268 300x250 69 2590206 629 2 183.89 2011-06-28 2011-03-01 119
754525 728x90 1147 2574385 591 1 1423.49 2011-09-27 2011-03-01 210
798406 300x250 1183 2555377 1411 16 552.05 2011-09-22 2011-03-17 189
794037 728x90 81 2534992 121 0 204.72 2011-11-28 2011-03-01 272
738207 160x600 1183 2532825 442 14 1634.19 2011-11-28 2011-03-06 267
784796 160x600 1183 2530018 1262 16 1055.29 2011-11-28 2011-03-01 272
813583 234x60 85 2513394 107 0 22.88 2011-11-01 2011-09-20 42
790391 300x250 379 2509132 67 1 78.56 2011-11-28 2011-05-07 205
747992 300x250 1183 2497467 611 13 1739.42 2011-11-28 2011-03-11 262
780077 728x90 1183 2496093 232 3 1746.67 2011-11-28 2011-03-09 264
771258 728x90 1183 2492800 969 3 261.88 2011-10-05 2011-04-30 158
708688 180x150 79 2483529 8 1 83.05 2011-08-19 2011-03-02 170
794038 300x250 82 2471538 76 0 397.77 2011-11-28 2011-03-01 272
775815 300x250 1183 2463188 1172 33 2719.27 2011-11-28 2011-03-22 251
694606 300x250 1183 2460517 3055 13 382.05 2011-11-14 2011-03-01 258
780520 300x250 1183 2451145 450 17 1293.72 2011-11-28 2011-03-01 272
789064 728x90 81 2447103 173 0 288.17 2011-09-27 2011-03-01 210
790669 300x250 87 2445057 1878 12 810.06 2011-11-28 2011-03-01 272
785872 728x90 1183 2432370 369 3 684.76 2011-11-28 2011-03-22 251
787545 160x600 1183 2431510 81 0 906.08 2011-11-28 2011-03-09 264
799276 300x250 1183 2428771 480 3 380.06 2011-11-04 2011-03-09 240
776371 300x250 1183 2413660 1818 43 2500.72 2011-11-28 2011-03-01 272
793539 300x250 87 2412666 107 0 338.73 2011-08-23 2011-03-01 175
797077 728x90 1183 2405041 415 20 1870.26 2011-11-28 2011-07-13 138
800008 300x250 1183 2399641 14 0 302.02 2011-11-28 2011-03-11 262
750972 300x250 1 2373962 252 1 368.60 2011-11-28 2011-03-02 271
784795 728x90 1183 2339891 738 3 598.73 2011-11-28 2011-03-03 270
714055 728x90 1183 2335329 280 2 816.42 2011-06-17 2011-03-01 108
761922 160x600 1183 2332969 397 2 358.36 2011-11-28 2011-03-01 272
788695 728x90 78 2318850 9378 1 324.23 2011-11-28 2011-03-31 242
796511 300x250 1183 2291116 45 2 2381.56 2011-11-28 2011-03-12 261
743834 160x600 1183 2279514 684 11 1532.64 2011-11-28 2011-03-01 272
790720 728x90 1183 2263359 219 0 518.04 2011-10-25 2011-03-01 238
763097 728x90 82 2254884 916 19 1199.21 2011-11-28 2011-03-09 264
793824 160x600 87 2250547 2971 5 636.92 2011-06-14 2011-03-01 105
781942 300x250 1183 2238185 1920 11 1617.37 2011-11-28 2011-03-03 270
772399 300x250 87 2237599 400 8 1607.05 2011-11-21 2011-03-09 257
790494 300x250 65 2237547 143 1 1477.32 2011-07-13 2011-03-15 120
790089 300x250 1183 2230752 2298 25 2124.33 2011-11-28 2011-03-01 272
763096 728x90 82 2203797 105 2 1238.74 2011-11-28 2011-03-09 264
792439 300x250 82 2197432 65 1 359.71 2011-11-28 2011-03-01 272
787698 728x90 65 2195927 634 21 987.78 2011-11-28 2011-05-18 194
722923 160x600 1183 2195442 4040 17 4060.29 2011-11-28 2011-03-10 263
770255 300x250 84 2192270 53 1 84.54 2011-08-30 2011-03-01 182
807016 300x250 1183 2180303 137 0 261.95 2011-11-28 2011-07-08 143
795236 300x250 84 2175392 124 2 114.70 2011-08-19 2011-03-01 171
770127 728x90 1183 2168336 312 0 255.45 2011-10-13 2011-03-01 226
800543 728x90 1183 2167681 14 0 160.10 2011-11-28 2011-03-28 245
807979 160x600 1183 2144232 707 20 616.12 2011-10-25 2011-07-13 104
807982 160x600 1183 2138825 582 9 743.46 2011-11-04 2011-07-13 114
787693 300x250 69 2135053 277 0 75.88 2011-11-28 2011-05-17 195
785925 728x90 78 2115208 282 1 366.47 2011-09-27 2011-03-01 210
779017 728x90 66 2111369 564 9 1109.11 2011-11-28 2011-03-01 272
808684 300x250 1183 2095207 688 13 1875.27 2011-09-30 2011-07-13 79
782141 160x600 87 2084701 727 11 1953.97 2011-11-28 2011-03-02 271
770827 728x90 1183 2081857 2485 2 1276.09 2011-06-22 2011-03-01 113
793123 300x250 1183 2078463 514 4 224.04 2011-11-28 2011-03-01 272
808175 728x90 1183 2064142 2660 6 2086.61 2011-09-17 2011-07-13 66
806240 300x250 1183 2056809 209 13 1645.66 2011-11-28 2011-07-13 138
735790 160x600 1183 2052346 597 6 1073.31 2011-07-28 2011-03-01 149
765027 728x90 1183 2047756 2926 28 3837.75 2011-11-28 2011-03-29 244
784888 160x600 1183 2041937 206 0 567.31 2011-11-28 2011-03-03 270
780443 300x250 65 2031047 640 10 1134.59 2011-10-14 2011-03-01 227
787474 728x90 69 2029860 14 0 99.17 2011-09-29 2011-03-08 205
790667 728x90 87 2023948 1263 8 858.84 2011-10-11 2011-03-01 224
735792 728x90 1183 2023666 457 2 916.20 2011-07-18 2011-03-01 139
785925 728x90 83 2018327 113 0 119.31 2011-09-01 2011-03-01 184
763716 300x250 1183 2011427 1051 8 1306.41 2011-11-28 2011-03-09 264
770255 300x250 83 2008409 89 0 88.52 2011-08-30 2011-03-01 182
793283 300x250 1183 1999205 1713 43 2599.70 2011-11-23 2011-07-13 133
795237 728x90 78 1994362 155 1 87.34 2011-09-17 2011-03-01 200
790491 180x150 67 1991660 29 0 415.93 2011-09-14 2011-03-01 197
807977 728x90 1183 1988662 185 13 945.93 2011-09-20 2011-07-13 69
796223 300x250 1183 1987197 45 2 123.13 2011-11-28 2011-03-19 254
782744 160x600 1183 1982902 2156 17 657.16 2011-06-24 2011-03-01 115
807606 300x250 1183 1980257 408 14 741.87 2011-11-28 2011-07-13 138
785545 300x250 82 1972405 118 2 195.01 2011-09-24 2011-03-24 184
708688 180x150 82 1969785 19 1 117.73 2011-11-28 2011-03-01 272
772005 728x90 1183 1968297 61 1 152.98 2011-11-28 2011-03-01 272
782864 728x90 1183 1962356 1949 19 2031.56 2011-11-28 2011-03-09 264
805491 728x90 1183 1941386 176 0 98.44 2011-09-01 2011-05-29 95
794037 728x90 83 1938111 121 0 91.41 2011-11-28 2011-03-01 272
800542 300x250 1183 1919032 13 3 196.80 2011-11-28 2011-03-31 242
777841 728x90 1183 1915066 3164 11 1731.39 2011-11-22 2011-03-01 266
