siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
784794	160x600	1183	2592	2	0	1.46	2011-12-11	2011-03-11	275
782254	728x90	1183	2411	0	0	1.46	2011-09-02	2011-03-01	185
805709	300x250	1183	3913	2	0	1.47	2011-12-11	2011-07-13	151
757074	300x250	1235	2718	1	0	1.47	2011-12-11	2011-07-13	151
783916	300x250	1183	4438	0	0	1.47	2011-10-21	2011-03-01	234
801298	300x250	87	1757	0	0	1.47	2011-12-11	2011-07-13	151
749486	468x60	1183	13555	0	0	1.47	2011-12-07	2011-04-16	235
756430	160x600	83	11609	2	0	1.47	2011-05-05	2011-03-01	65
794521	728x90	1183	5844	1	0	1.47	2011-09-27	2011-05-20	130
780273	728x90	1183	3187	2	0	1.48	2011-08-13	2011-03-09	157
721127	300x250	85	1139	5	0	1.48	2011-04-01	2011-03-10	22
779870	728x90	87	468	0	0	1.48	2011-08-09	2011-03-11	151
776809	300x250	1183	1944	4	0	1.48	2011-10-06	2011-03-01	219
800288	160x600	1183	1687	0	0	1.48	2011-04-04	2011-03-16	19
743391	160x600	1183	1800	2	0	1.48	2011-06-30	2011-03-09	113
777341	728x90	1183	6301	18	0	1.48	2011-09-27	2011-03-01	210
720733	300x250	1	4461	2	0	1.48	2011-12-11	2011-03-09	277
755405	300x250	1183	1455	0	0	1.49	2011-12-06	2011-07-13	146
805708	728x90	1183	3711	2	0	1.49	2011-12-11	2011-07-13	151
792086	300x250	87	3524	1	0	1.49	2011-12-11	2011-03-02	284
792462	300x250	87	5719	1	0	1.49	2011-12-11	2011-07-01	163
806919	728x90	87	3536	2	0	1.49	2011-12-11	2011-07-13	151
768025	728x90	1183	10332	13	0	1.49	2011-09-27	2011-03-02	209
788691	300x250	1183	4785	5	0	1.49	2011-09-27	2011-03-01	210
807303	160x600	1183	3111	1	0	1.50	2011-12-11	2011-06-30	164
800446	728x90	87	5552	3	0	1.50	2011-12-11	2011-03-30	256
803519	728x90	1183	4579	0	0	1.50	2011-12-11	2011-07-13	151
785015	300x250	1183	3706	1	0	1.50	2011-07-24	2011-03-03	143
783288	728x90	68	6672	0	0	1.51	2011-12-10	2011-03-26	259
785016	300x250	1183	2839	2	0	1.51	2011-07-17	2011-03-01	138
804674	160x600	1183	8295	2	0	1.51	2011-12-10	2011-06-30	163
749495	160x600	1183	8523	5	0	1.52	2011-08-25	2011-03-01	177
720834	728x90	246	2051	1	0	1.52	2011-12-11	2011-07-14	150
807798	300x250	1183	5530	0	0	1.52	2011-09-21	2011-07-13	70
799318	300x250	1183	5506	1	0	1.53	2011-12-06	2011-07-13	146
776408	160x600	1183	3514	0	0	1.53	2011-05-21	2011-03-01	81
792073	728x90	87	3554	0	0	1.53	2011-07-22	2011-04-01	112
790963	300x250	1183	3088	8	0	1.53	2011-12-05	2011-03-09	271
788692	728x90	1183	2349	7	0	1.53	2011-04-15	2011-03-11	35
794404	728x90	87	7391	0	0	1.53	2011-05-25	2011-03-09	77
743173	728x90	1	500	2	0	1.54	2011-06-05	2011-03-11	86
797930	300x250	1183	5192	0	0	1.54	2011-12-11	2011-07-13	151
804387	728x90	1183	3548	0	0	1.54	2011-11-09	2011-07-09	123
806558	300x250	1183	169126	17	0	1.54	2011-08-24	2011-08-03	21
772847	300x250	1183	4039	4	0	1.54	2011-10-25	2011-03-01	238
782720	160x600	1183	1632	1	0	1.54	2011-07-28	2011-03-01	149
790902	300x250	1183	8138	3	0	1.54	2011-12-11	2011-03-14	272
790859	728x90	1183	5729	1	0	1.55	2011-12-06	2011-04-05	245
790491	180x150	69	92527	0	0	1.55	2011-11-21	2011-03-01	265
