siteid	size	segmentid	n	k	a	cost	max(date)	min(date)	days
765466	160x600	87	102	0	0	0.01	2011-04-30	2011-03-01	60
799457	160x600	87	103	0	0	0.06	2011-04-07	2011-03-05	33
755442	300x250	1183	103	0	0	0.08	2011-04-13	2011-03-19	25
796278	728x90	87	103	0	0	0.08	2011-03-16	2011-03-11	5
743236	728x90	84	103	0	0	0.06	2011-03-19	2011-03-10	9
798530	300x250	1236	104	0	0	0.02	2011-04-01	2011-03-30	2
785924	300x250	79	104	0	0	0.01	2011-08-23	2011-04-02	143
743235	300x250	1183	105	0	0	0.03	2011-04-15	2011-03-01	45
796993	160x600	1183	105	0	0	0.01	2011-03-14	2011-03-01	13
795389	160x600	79	105	0	0	0.04	2011-04-01	2011-03-17	15
785971	300x250	1183	106	0	0	0.19	2012-02-03	2011-12-12	53
799320	300x250	1183	106	0	0	0.05	2011-03-31	2011-03-28	3
797943	160x600	1183	106	0	0	0.01	2011-07-05	2011-03-09	118
786520	160x600	87	107	0	0	0.03	2011-05-23	2011-03-02	82
785156	160x600	1183	108	0	0	0.05	2011-04-05	2011-03-03	33
798535	160x600	1183	108	0	0	0.02	2011-03-25	2011-03-23	2
764081	300x250	1	110	0	0	0.08	2011-04-01	2011-03-09	23
800402	160x600	1183	111	0	0	0.01	2011-07-25	2011-03-21	126
791806	300x250	1183	111	0	0	0.02	2011-07-31	2011-03-01	152
797942	300x250	1183	112	0	0	0.04	2011-04-04	2011-03-10	25
803293	300x250	1183	112	0	0	0.02	2011-10-06	2011-07-13	85
735037	728x90	1	112	0	0	0.02	2011-04-22	2011-03-28	25
770299	728x90	1183	113	0	0	0.10	2011-03-16	2011-03-09	7
747816	728x90	87	113	0	0	0.01	2011-07-25	2011-03-27	120
796991	728x90	1183	114	0	0	0.03	2011-03-14	2011-03-01	13
799285	300x250	1183	114	0	0	0.05	2011-04-02	2011-03-09	24
708046	300x250	87	115	0	0	0.11	2011-03-11	2011-03-09	2
740879	728x90	1	115	0	0	0.01	2011-05-03	2011-03-01	63
780908	300x250	1183	115	0	0	0.01	2011-04-01	2011-03-15	17
781621	300x250	1183	116	0	0	0.06	2011-07-27	2011-03-23	126
797972	728x90	1183	116	0	0	0.04	2011-03-29	2011-03-11	18
795479	300x250	87	116	1	0	0.03	2011-03-11	2011-03-02	9
796307	300x250	1183	116	0	0	0.05	2011-03-12	2011-03-02	10
798434	300x250	1183	118	0	0	0.04	2011-08-04	2011-03-01	156
743236	728x90	85	118	0	0	0.06	2011-04-01	2011-03-02	30
797498	728x90	1183	119	0	0	0.34	2011-07-06	2011-03-02	126
786611	728x90	1236	119	0	0	0.03	2012-02-03	2011-07-13	205
797368	728x90	1183	119	0	0	0.04	2011-03-14	2011-03-01	13
790153	160x600	1183	119	0	0	0.02	2011-08-12	2011-07-13	30
780418	160x600	87	120	0	0	0.04	2011-05-04	2011-03-01	64
803775	160x600	87	121	0	0	0.03	2011-12-06	2011-07-14	145
799369	300x250	1183	122	0	0	0.01	2011-04-12	2011-03-08	35
779338	300x250	1236	123	0	0	0.25	2011-03-13	2011-03-09	4
743479	728x90	1183	123	0	0	0.04	2012-02-04	2011-07-14	205
757967	300x250	1	124	0	0	0.05	2011-03-22	2011-03-01	21
790261	300x250	1183	124	0	0	0.06	2011-03-12	2011-03-09	3
791334	160x600	87	125	0	0	0.03	2011-05-04	2011-03-01	64
784163	728x90	82	125	0	0	0.03	2011-03-24	2011-03-17	7
797778	160x600	292	125	0	0	0.03	2011-03-31	2011-03-10	21
785973	160x600	1183	125	0	0	0.17	2011-12-13	2011-12-12	1
789193	300x250	1183	125	0	0	0.06	2011-04-07	2011-03-09	29
757966	300x250	1236	127	0	0	0.02	2011-03-22	2011-03-01	21
790047	160x600	87	128	0	0	0.43	2011-03-24	2011-03-12	12
794682	728x90	87	128	0	0	0.04	2011-04-01	2011-03-01	31
707677	300x250	1183	128	0	0	0.02	2011-11-06	2011-07-13	116
799676	728x90	1183	129	0	0	0.06	2011-04-01	2011-03-23	9
784206	300x250	1183	130	0	0	0.13	2011-03-23	2011-03-02	21
743188	728x90	1183	131	0	0	0.29	2011-03-14	2011-03-09	5
794530	728x90	87	132	0	0	0.13	2011-08-10	2011-03-03	160
748654	728x90	1183	132	0	0	0.06	2011-08-06	2011-07-13	24
799207	120x600	1183	132	0	0	0.01	2011-06-05	2011-03-01	96
781522	728x90	87	132	0	0	0.18	2011-10-20	2011-03-09	225
800354	300x250	1183	133	0	0	0.02	2012-01-27	2011-07-13	198
747579	300x250	1	133	0	0	0.03	2011-03-23	2011-03-01	22
732213	300x250	87	133	0	0	0.13	2011-07-30	2011-07-13	17
775805	160x600	1183	133	0	0	0.41	2011-03-12	2011-03-01	11
785005	300x250	87	133	1	0	0.24	2011-06-26	2011-03-09	109
787949	728x90	1183	134	0	0	0.06	2011-06-04	2011-03-09	87
808230	300x250	1183	134	0	0	0.06	2011-07-19	2011-07-12	7
800770	728x90	1183	134	0	0	0.06	2011-04-03	2011-03-24	10
805242	300x250	1183	134	0	0	0.03	2012-02-03	2011-07-13	205
796992	300x250	1183	134	0	0	0.01	2011-03-14	2011-03-01	13
795884	160x600	1183	135	0	0	0.05	2011-07-16	2011-03-01	137
804827	160x600	1183	135	1	0	0.04	2011-12-11	2011-07-13	151
791069	300x250	1183	135	0	0	0.04	2011-04-15	2011-03-09	37
791177	300x250	1183	135	0	0	0.06	2011-07-02	2011-03-10	114
796009	728x90	1183	135	0	0	0.11	2011-03-14	2011-03-02	12
781599	728x90	1183	135	0	0	0.07	2011-11-29	2011-03-02	272
784541	300x250	87	136	0	0	0.13	2011-04-07	2011-03-13	25
693178	728x90	1183	137	0	0	0.02	2011-06-17	2011-03-03	106
795389	160x600	84	138	1	0	0.01	2011-04-22	2011-03-17	36
793629	300x250	87	138	0	0	0.03	2011-03-22	2011-03-20	2
775076	300x250	1183	138	0	0	0.03	2012-01-11	2011-04-28	258
792257	728x90	1183	139	0	0	0.04	2012-01-12	2011-07-14	182
200843	728x90	1183	139	1	0	0.15	2012-01-01	2011-07-13	172
761770	160x600	1236	140	0	0	0.12	2012-01-20	2011-07-14	190
798194	160x600	1183	140	0	0	0.17	2011-07-27	2011-07-18	9
756158	160x600	1	140	0	0	0.08	2011-04-16	2011-03-01	46
797680	728x90	1183	141	0	0	0.07	2011-10-21	2011-03-09	226
743235	728x90	1183	141	0	0	0.12	2011-04-26	2011-04-18	8
784164	160x600	81	141	0	0	0.01	2011-03-24	2011-03-17	7
799001	728x90	1183	141	0	0	0.04	2011-03-25	2011-03-01	24
761440	728x90	1236	142	0	0	0.14	2011-05-21	2011-03-09	73
770904	728x90	1183	142	0	0	0.01	2011-03-27	2011-03-01	26
805143	728x90	87	142	0	0	0.04	2011-07-25	2011-07-13	12
797824	728x90	1183	143	0	0	0.05	2011-04-01	2011-03-01	31
798259	728x90	1183	145	0	0	0.14	2011-03-14	2011-03-09	5
785104	160x600	1183	146	0	0	0.08	2012-01-26	2011-03-01	331
779402	300x250	87	147	0	0	0.01	2011-08-25	2011-03-01	177
786171	728x90	87	147	0	0	0.01	2011-04-07	2011-03-10	28
788237	728x90	1183	147	0	0	0.02	2011-04-08	2011-03-04	35
760847	300x250	87	147	0	0	0.09	2011-07-24	2011-03-15	131
800731	728x90	1183	149	0	0	0.07	2011-04-01	2011-03-28	4
798469	728x90	1183	149	0	0	0.06	2011-03-16	2011-03-04	12
792062	160x600	1183	149	0	0	0.06	2011-04-20	2011-03-02	49
800862	160x600	1183	149	0	0	0.04	2011-10-20	2011-03-25	209
788785	300x250	1183	151	0	0	0.01	2011-09-05	2011-03-31	158
743198	300x250	85	151	0	0	0.41	2011-04-01	2011-03-09	23
797329	728x90	87	152	0	0	0.05	2011-08-20	2011-07-13	38
797262	728x90	1183	152	0	0	0.03	2011-07-04	2011-03-09	117
789113	728x90	1183	152	1	0	0.05	2011-09-13	2011-03-05	192
738311	728x90	1	152	0	0	0.02	2011-04-01	2011-03-26	6
775719	300x250	1183	152	0	0	0.01	2011-04-25	2011-03-01	55
805480	728x90	1183	154	0	0	0.03	2011-08-02	2011-06-05	58
807005	728x90	87	154	0	0	0.06	2012-02-03	2011-07-13	205
718613	728x90	1183	155	1	0	0.42	2011-03-28	2011-03-09	19
758021	160x600	1	155	0	0	0.12	2011-07-25	2011-07-13	12
743234	728x90	82	156	0	0	0.23	2011-05-05	2011-03-09	57
724837	160x600	1	156	0	0	0.05	2011-07-04	2011-03-07	119
808347	300x250	87	157	0	0	0.06	2011-11-02	2011-07-13	112
