san	siteid	size	segmentid	n	k	a	cost	max(d.date)	min(d.date)	days	ads
aigebi1amjul11	807004	300x250	1183	75	0	0	0.00	2011-09-13	2011-08-03	41	9
aigebi1amjul11	805361	300x250	1183	50	0	0	0.00	2011-09-27	2011-09-26	1	9
aigebi1amjul11	808467	160x600	1183	7	0	0	0.00	2011-08-16	2011-08-16	0	6
aigebi1amjul11	812024	728x90	87	3	0	0	0.00	2011-08-24	2011-08-24	0	3
aigebi1amjul11	810150	300x250	-20	26	0	0	0.00	2011-08-10	2011-08-09	1	8
aigebi1amjul11	818962	728x90	1183	5	0	0	0.00	2011-11-29	2011-11-29	0	2
aigebi1amjul11	815803	160x600	87	23	0	0	0.00	2011-10-14	2011-10-14	0	3
aigebi1amjul11	772350	160x600	87	393	0	0	0.00	2011-09-27	2011-07-15	74	9
aigebi1amjul11	782968	300x250	1183	7	0	0	0.00	2011-07-29	2011-07-14	15	5
aigebi1amjul11	743232	728x90	1183	37	1	0	0.00	2011-09-01	2011-09-01	0	8
aigebi1amjul11	780074	728x90	1236	5	0	0	0.00	2011-10-21	2011-10-20	1	2
aigebi1amjul11	787594	300x250	87	39	0	0	0.00	2011-07-24	2011-07-15	9	8
aigebi1amjul11	713788	728x90	65	187	0	0	0.00	2011-08-31	2011-08-13	18	9
aigebi1amjul11	785357	300x250	1183	611	0	0	0.00	2011-09-24	2011-07-14	72	9
aigebi1amjul11	791350	300x250	81	15	0	0	0.00	2011-11-08	2011-11-08	0	3
aigebi1amjul11	757378	728x90	1	12	0	0	0.00	2011-09-15	2011-07-15	62	7
aigebi1amjul11	789597	728x90	1183	889	0	0	0.00	2011-09-14	2011-07-14	62	9
aigebi1amjul11	795242	300x250	1183	276	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	799368	160x600	1183	157	0	0	0.00	2011-11-06	2011-08-09	89	9
aigebi1amjul11	803955	300x250	87	407	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	805553	300x250	1183	2	0	0	0.00	2011-07-18	2011-07-16	2	2
aigebi1amjul11	808578	728x90	87	6	0	0	0.00	2011-10-15	2011-10-15	0	2
aigebi1amjul11	807115	468x60	87	736	0	0	0.00	2011-10-21	2011-07-26	87	1
aigebi1amjul11	812402	160x600	87	723	0	0	0.00	2011-09-26	2011-08-27	30	9
aigebi1amjul11	810287	728x90	87	64	1	0	0.00	2011-09-26	2011-09-03	23	8
aigebi1amjul11	816014	300x250	87	20	0	0	0.00	2011-10-19	2011-10-19	0	3
aigebi1amjul11	772562	300x250	87	12	0	0	0.00	2011-09-13	2011-07-16	59	7
aigebi1amjul11	780250	300x250	87	1132	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	716184	728x90	87	40	0	0	0.00	2011-10-05	2011-09-24	11	8
aigebi1amjul11	767435	728x90	67	940	0	0	0.00	2011-10-21	2011-10-20	1	2
aigebi1amjul11	791426	300x250	87	286	6	0	0.00	2011-09-27	2011-08-08	50	9
aigebi1amjul11	795433	160x600	1184	12	0	0	0.00	2011-08-16	2011-08-15	1	7
